Code,Name,Date,Time,Location
2458,義隆,2021/1/6,10:00,線上法說會
2882,國泰金,2021/1/6,10:00,採線上投資人會議形式進行。
4807,日成-KY,2021/1/6,14:30,本公司為線上法說會
1598,岱宇,2021/1/7,15:45,臺北文創(台北市信義區菸廠路88號6樓)
2356,英業達,2021/1/7,10:00,電話會議
2881,富邦金,2021/1/7,16:00,電話會議
3008,大立光,2021/1/7,14:30,線上法說會
4763,材料*-KY,2021/1/7,15:00,臺北市新生南路一段50號3樓
5871,中租-KY,2021/1/7,10:00,台北
6533,晶心科,2021/1/7,09:00,線上會議
2356,英業達,2021/1/8,14:00,電話會議
2360,致茂,2021/1/8,09:00,電話會議
2408,南亞科,2021/1/8,15:00,線上法說會
2449,京元電子,2021/1/8,09:00,線上法說會
4142,國光生,2021/1/11,22:50,線上法說會
1907,永豐餘,2021/1/12,14:30,凱基證券：台北市明水路700號1F
1789,神隆,2021/1/14,08:50,線上會議
2330,台積電,2021/1/14,14:00,線上法說會
3036,文曄,2021/1/14,11:00,紐約
2010,春源,2021/1/15,14:30,臺灣證券交易所1F資訊展示中心(台北市信義區信義路五段7號1樓)
2351,順德,2021/1/15,14:00,線上座談會
6581,鋼聯,2021/1/18,14:30,台北君悅酒店凱悅廳二區(台北市信義區松壽路2號3樓)
1723,中碳,2021/1/19,14:00,線上法人說明會
2636,台驊控股,2021/1/19,14:30,張榮發基金會國際會議中心1002室(台北市中山南路11號10樓)
5546,永固-KY,2021/1/19,14:30,台北市復興北路99號2樓&#29319;亞會議室
1589,永冠-KY,2021/1/20,09:30,線上法說會
1590,亞德客-KY,2021/1/20,16:00,台北晶華酒店4F
1736,喬山,2021/1/20,11:00,台北晶華酒店
2308,台達電,2021/1/20,14:00,台北晶華酒店
2317,鴻海,2021/1/20,13:30,台北晶華酒店(台北市中山區中山北路二段39巷3號)
2324,仁寶,2021/1/20,09:30,電話會議
2327,國巨*,2021/1/20,11:00,線上電話會議
2337,旺宏,2021/1/20,11:00,台北
2439,美律,2021/1/20,09:30,台北晶華酒店。
2481,強茂,2021/1/20,16:00,台北晶華酒店(台北市中山北路二段39巷3號)
3037,欣興,2021/1/20,13:30,台北
3189,景碩,2021/1/20,13:45,台北晶華酒店
3665,貿聯-KY,2021/1/20,16:00,線上法說會
4551,智伸科,2021/1/20,13:30,臺北晶華酒店(台北市中山北路二段39巷3號4樓)
9802,鈺齊-KY,2021/1/20,14:45,臺北晶華酒店(台北市中山區中山北路二段39巷3號)
2115,六暉-KY,2021/1/21,14:30,台新綜合證券股份有限公司13樓會議室(台北市建國北路一段96號13樓)
2383,台光電,2021/1/22,13:30,電話會議
6213,聯茂,2021/1/22,09:00,線上法說會
2439,美律,2021/1/25,09:30,電話會議。
3413,京鼎,2021/1/25,14:30,福邦證券總公司(台北市忠孝西路一段6號7樓)
2441,超豐,2021/1/26,14:30,新竹縣湖口鄉新竹工業區大同路15號6樓(力成科技公司6F訓練教室)
3035,智原,2021/1/26,14:30,線上法說會
6239,力成,2021/1/26,14:30,新竹縣湖口鄉新竹工業區大同路15號6樓(訓練教室)
6541,泰福-KY,2021/1/26,14:00,統一證券15樓會議室(台北市松山區東興路8號15樓)
1590,亞德客-KY,2021/1/27,16:00,線上法說會
2303,聯電,2021/1/27,17:00,線上法說會
2308,台達電,2021/1/27,10:00,線上法說會
2337,旺宏,2021/1/27,16:00,線上法人說明會
2454,聯發科,2021/1/27,16:00,線上法說會
3576,聯合再生,2021/1/27,14:00,台北市中山區明水路700號
4904,遠傳,2021/1/27,15:00,本公司
2241,艾姆勒,2021/1/28,14:30,台北市松山區南京東路四段1號8樓之1(雁群空間)
2472,立隆電,2021/1/28,14:00,線上法人說明會
6409,旭隼,2021/1/28,16:30,線上法說會
2015,豐興,2021/1/29,14:00,線上法人說明會
3443,創意,2021/1/29,14:00,兆豐證券總公司(台北市忠孝東路二段95號13樓)
3591,艾笛森,2021/1/29,14:30,線上法人說明會
6202,盛群,2021/2/1,14:30,宏遠證券總公司(台北市大安區信義路四段236號7樓)
2379,瑞昱,2021/2/2,15:00,網路直播
2472,立隆電,2021/2/2,14:00,線上法人說明會
2481,強茂,2021/2/3,14:00,線上法人說明會
4938,和碩,2021/2/3,10:00,電話會議
2409,友達,2021/2/4,14:00,線上法說會
2412,中華電,2021/2/4,15:00,電話會議
2472,立隆電,2021/2/4,14:30,兆豐證券總公司13樓會議室 (台北市忠孝東路二段95號)
3034,聯詠,2021/2/4,15:00,網路直播
3711,日月光投控,2021/2/4,17:30,電話會議及網路廣播。
3545,敦泰,2021/2/5,14:30,線上法人說明會
8081,致新,2021/2/5,14:00,國泰綜合證券股份有限公司(視訊會議)
3504,揚明光,2021/2/8,15:00,線上法說會網路直播
6269,台郡,2021/2/17,16:00,採電話會議方式舉行
6269,台郡,2021/2/17,16:00,採電話會議方式舉行
6269,台郡,2021/2/17,16:00,採電話會議方式舉行
2344,華邦電,2021/2/19,15:30,線上法說會
4919,新唐,2021/2/19,13:30,線上法說會
8454,富邦媒,2021/2/19,14:30,線上會議
8454,富邦媒,2021/2/19,16:00,線上會議
2303,聯電,2021/2/22,09:00,電話會議
2324,仁寶,2021/2/22,16:00,電話會議
2327,國巨*,2021/2/22,15:00,線上電話會議
2337,旺宏,2021/2/22,09:00,電話會議
2383,台光電,2021/2/22,09:00,電話會議
2408,南亞科,2021/2/22,13:00,線上法說會
2412,中華電,2021/2/22,09:00,台北
2884,玉山金,2021/2/22,15:00,線上
6285,啟碁,2021/2/22,10:00,線上法說會
8464,億豐,2021/2/22,10:00,線上會議
1590,亞德客-KY,2021/2/23,09:00,線上法說會
2330,台積電,2021/2/23,09:00,線上法說會
2382,廣達,2021/2/23,09:00,電話會議
2408,南亞科,2021/2/23,11:00,線上法說會
2458,義隆,2021/2/23,14:30,台北國際會議中心102室 (台北市信義路五段1號1樓)
2882,國泰金,2021/2/23,13:00,採線上投資人會議形式進行。
2884,玉山金,2021/2/23,14:00,線上
2891,中信金,2021/2/23,09:00,線上
3034,聯詠,2021/2/23,14:00,電話會議
3189,景碩,2021/2/23,09:00,線上投資論壇
3703,欣陸,2021/2/23,14:30,臺北文創-台北市信義區菸廠路88號6F
4906,正文,2021/2/23,14:30,臺北文創-台北市信義區菸廠路88號6F
5871,中租-KY,2021/2/23,09:00,台北
6213,聯茂,2021/2/23,15:00,線上法說會。
6409,旭隼,2021/2/23,09:00,線上法說會
6415,矽力*-KY,2021/2/23,09:00,線上法說會
6781,AES-KY,2021/2/23,14:30,台北君悅酒店3樓凱悅廳一區(台北市松壽路2號)
9958,世紀鋼,2021/2/23,15:45,台北文創-台北市信義區菸廠路88號6樓
1532,勤美,2021/2/24,14:30,臺北文創(台北市信義區菸廠路88號6樓)
2356,英業達,2021/2/24,11:00,線上或電話會議
2385,群光,2021/2/24,15:45,台北文創
2417,圓剛,2021/2/24,14:30,臺北文創-台北市信義區菸廠路88號6F
3037,欣興,2021/2/24,15:00,線上法說會
3189,景碩,2021/2/24,14:30,台北文創 (台北市信義區菸廠路88號)
5203,訊連,2021/2/24,14:30,線上法人說明會
6213,聯茂,2021/2/24,15:45,臺北文創(台北市信義區菸廠路88號6F)
6285,啟碁,2021/2/24,16:00,電話會議
